P1, READ, R3, 1

P1, READ, R1, 1

P2, WRITE, R1, 1

P3, READ, R2, 1

P4, WRITE, R2, 1

P5, READ, R3, 1

P6, WRITE, R3, 1

P7, READ, R1, 1

P1, WRITE, R2, 2

P2, READ, R3, 2

P3, WRITE, R1, 2

P4, READ, R3, 2

P5, WRITE, R2, 2

P6, READ, R1, 2

P7, WRITE, R3, 2

P1, READ, R3, 3

P2, WRITE, R2, 3

P3, READ, R3, 3

P4, WRITE, R1, 3

P5, READ, R1, 3

P6, WRITE, R2, 3

P7, READ, R2, 3

P1, WRITE, R1, 4

P2, READ, R1, 4

P3, WRITE, R2, 4

P4, READ, R3, 4

P5, WRITE, R3, 4

P6, READ, R1, 4

P7, WRITE, R1, 4

P1, READ, R2, 5

P2, WRITE, R3, 5

P3, READ, R1, 5

P4, WRITE, R2, 5

P5, READ, R3, 5

P6, WRITE, R1, 5

P7, READ, R3, 5
